_id,type,model
ObjectId(6a5800e033c1d16759af3e92),smart phone,platina
ObjectId(6a5800e033c1d16759af3e93),smart phone,bn20
ObjectId(6a5800e033c1d16759af3e94),smart phone,xm23
ObjectId(6a5800e033c1d16759af3e95),smart phone,pk2
ObjectId(6a5800e033c1d16759af3e96),smart phone,c12
ObjectId(6a5800e033c1d16759af3e97),smart phone,c12
ObjectId(6a5800e033c1d16759af3e98),smart phone,k9
ObjectId(6a5800e033c1d16759af3e99),smart phone,bn20
ObjectId(6a5800e033c1d16759af3e9a),smart phone,c3
ObjectId(6a5800e033c1d16759af3e9b),smart phone,c3
ObjectId(6a5800e033c1d16759af3e9c),smart phone,cz
ObjectId(6a5800e033c1d16759af3e9d),smart phone,cz
ObjectId(6a5800e033c1d16759af3e9e),laptop,qw2
ObjectId(6a5800e033c1d16759af3e9f),laptop,c6
ObjectId(6a5800e033c1d16759af3ea0),laptop,ay9
ObjectId(6a5800e033c1d16759af3ea1),laptop,zeta
ObjectId(6a5800e033c1d16759af3ea2),laptop,k12
ObjectId(6a5800e033c1d16759af3ea3),laptop,qw2
ObjectId(6a5800e033c1d16759af3ea4),laptop,zeta
ObjectId(6a5800e033c1d16759af3ea5),laptop,jl3
ObjectId(6a5800e033c1d16759af3ea6),smart phone,c12
ObjectId(6a5800e033c1d16759af3ea7),smart phone,k9
ObjectId(6a5800e033c1d16759af3ea8),smart phone,platina
ObjectId(6a5800e033c1d16759af3ea9),smart phone,xm23
ObjectId(6a5800e033c1d16759af3eaa),smart phone,c3
ObjectId(6a5800e033c1d16759af3eab),smart phone,xm23
ObjectId(6a5800e033c1d16759af3eac),smart phone,cz
ObjectId(6a5800e033c1d16759af3ead),smart phone,bn20
ObjectId(6a5800e033c1d16759af3eae),smart phone,platina
ObjectId(6a5800e033c1d16759af3eaf),smart phone,pk2
ObjectId(6a5800e033c1d16759af3eb0),smart phone,k9
ObjectId(6a5800e033c1d16759af3eb1),smart phone,pk2
ObjectId(6a5800e033c1d16759af3eb2),laptop,ki2
ObjectId(6a5800e033c1d16759af3eb3),laptop,zeta
ObjectId(6a5800e033c1d16759af3eb4),laptop,qw2
ObjectId(6a5800e033c1d16759af3eb5),laptop,j3
ObjectId(6a5800e033c1d16759af3eb6),laptop,jl3
ObjectId(6a5800e033c1d16759af3eb7),laptop,ay9
ObjectId(6a5800e033c1d16759af3eb8),laptop,ay9
ObjectId(6a5800e033c1d16759af3eb9),laptop,ki2
ObjectId(6a5800e033c1d16759af3eba),laptop,kz
ObjectId(6a5800e033c1d16759af3ebb),laptop,ki2
ObjectId(6a5800e033c1d16759af3ebc),laptop,kz
ObjectId(6a5800e033c1d16759af3ebd),laptop,ki2
ObjectId(6a5800e033c1d16759af3ebe),laptop,c6
